"","STATEFP","COUNTYFP","TRACTCE","POPULATION","LATITUDE","LONGITUDE"
"4698",48,453,101,3611,30.320616,-97.75347
"4699",48,453,102,2552,30.329341,-97.767603
"4700",48,453,203,1546,30.311697,-97.735387
"4701",48,453,204,3009,30.30682,-97.744069
"4702",48,453,205,3394,30.325337,-97.734249
"4703",48,453,206,2687,30.325462,-97.74313
"4704",48,453,302,4939,30.303707,-97.728309
"4705",48,453,304,3045,30.308744,-97.717628
"4706",48,453,305,3223,30.314753,-97.725919
"4707",48,453,306,2697,30.295422,-97.701728
"4708",48,453,307,1707,30.297269,-97.712624
"4709",48,453,401,3574,30.29019,-97.72338
"4710",48,453,402,2606,30.284776,-97.714567
"4711",48,453,500,4518,30.296245,-97.734527
"4712",48,453,601,9207,30.285901,-97.738111
"4713",48,453,603,7793,30.291614,-97.74532
"4714",48,453,604,6496,30.28602,-97.746018
"4715",48,453,700,1339,30.280123,-97.744459
"4716",48,453,801,1498,30.266347,-97.701639
"4717",48,453,802,3067,30.274281,-97.70677
"4718",48,453,803,2429,30.276939,-97.718336
"4719",48,453,804,2295,30.269875,-97.720624
"4720",48,453,901,2027,30.265821,-97.723875
"4721",48,453,902,5413,30.258971,-97.717054
"4722",48,453,1000,3656,30.254592,-97.726662
"4723",48,453,1100,5512,30.265639,-97.743537
"4724",48,453,1200,3836,30.275181,-97.758847
"4725",48,453,1303,2871,30.258102,-97.764361
"4726",48,453,1304,3614,30.24847,-97.773843
"4727",48,453,1305,5488,30.248996,-97.757629
"4728",48,453,1307,3512,30.236637,-97.76848
"4729",48,453,1308,2670,30.232682,-97.761879
"4730",48,453,1401,2981,30.250108,-97.74655
"4731",48,453,1402,2499,30.242099,-97.74109
"4732",48,453,1403,1490,30.239654,-97.734798
"4733",48,453,1501,4787,30.347241,-97.743667
"4734",48,453,1503,3875,30.327264,-97.717357
"4735",48,453,1504,3925,30.346511,-97.726346
"4736",48,453,1505,4061,30.336455,-97.729585
"4737",48,453,1602,3301,30.284268,-97.774671
"4738",48,453,1603,4405,30.29882,-97.75697
"4739",48,453,1604,3984,30.301172,-97.772994
"4740",48,453,1605,3743,30.286337,-97.761361
"4741",48,453,1606,383,30.308093,-97.759823
"4742",48,453,1705,4662,30.369187,-97.770347
"4743",48,453,1706,3321,30.382595,-97.755447
"4744",48,453,1707,4305,30.372468,-97.746886
"4745",48,453,1712,4008,30.221884,-97.798308
