FACILITY,LAT,LONG
Randalls,30.33534,-97.758006
Trader Joe's,30.267489,-97.752658
Royal Blue Grocery,30.268315,-97.742255
Central Market,30.307474,-97.740345
Thoms Market,30.261656,-97.759609
Fresh Plus,30.280825,-97.7583
RiverCity Market,30.240864,-97.752331
Wheatsville Food Co-Op,30.297615,-97.741044
MT Supermarket,30.3775,-97.686153
Man Pasand,30.21492,-97.833448
Whole Foods,30.219649,-97.841645
HEB,30.302909,-97.69916
Thoms Market,30.255663,-97.74488
HEB,30.238609,-97.755107
Asahi Imports,30.33633,-97.739102
HEB,30.216239,-97.830981
HEB plus,30.2366,-97.722131
All Star Grocery,30.197111,-97.743634
Randalls,30.304173,-97.763919
Randalls,30.283803,-97.775748
Target,30.233443,-97.791579
HEB Pharm,30.302909,-97.69916
Walmart,30.355248,-97.733306
JD's Super Market,30.29101,-97.628848
Target,30.158207,-97.794177
JD's Super Market,30.193421,-97.925259
DK Sushi,30.325292,-97.727285
Han Yang Market,30.336184,-97.720611
Whole Foods,30.389992,-97.739952
Sprouts,30.202461,-97.808276
Hana World Market,30.413241,-97.688034
